Pollutant,Health_Var,Spearman_rho,p_value,n,Significant
AQI,ARI_pct,0.046,0.8548,18,
AQI,Stunting_pct,0.313,0.2065,18,
AQI,Underweight_pct,0.505,0.0327,18,*
AQI,Anaemia_pct,0.55,0.018,18,*
PM25,ARI_pct,0.036,0.8869,18,
PM25,Stunting_pct,0.311,0.2096,18,
PM25,Underweight_pct,0.457,0.0565,18,
PM25,Anaemia_pct,0.474,0.0471,18,*
PM10,ARI_pct,0.142,0.5863,17,
PM10,Stunting_pct,0.203,0.4336,17,
PM10,Underweight_pct,0.397,0.1145,17,
PM10,Anaemia_pct,0.527,0.0297,17,*
NO2,ARI_pct,-0.007,0.9773,18,
NO2,Stunting_pct,0.212,0.3994,18,
NO2,Underweight_pct,0.515,0.0287,18,*
NO2,Anaemia_pct,0.649,0.0036,18,**
SO2,ARI_pct,-0.063,0.804,18,
SO2,Stunting_pct,0.352,0.1521,18,
SO2,Underweight_pct,0.637,0.0045,18,**
SO2,Anaemia_pct,0.515,0.0287,18,*
O3,ARI_pct,0.096,0.7048,18,
O3,Stunting_pct,0.236,0.3451,18,
O3,Underweight_pct,0.37,0.1302,18,
O3,Anaemia_pct,0.408,0.0931,18,
